# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260507-014723.log
0|6524|INIT |DLL_PROCESS_ATTACH pid=14072
3|6524|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
4|6524|CALL |PDUConstruct|opt='' tag=00000000
65|6524|RET  |PDUConstruct|err=0
66|6524|CALL |PDURegisterEventCallback|hMod=0xFFFFFFFF hCLL=0xFFFFFFFF cb=00FA1E00
69|6524|CB   |register|slot=0 real=00FA1E00 tramp=DISABLED
70|6524|RET  |PDURegisterEventCallback|err=0
72|6524|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0xFFFFFFFF cb=00FA1E00
73|6524|CB   |register|slot=1 real=00FA1E00 tramp=DISABLED
73|6524|RET  |PDURegisterEventCallback|err=0
73|6524|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0xFFFFFFFF cmd=0x000C0002
81|6524|RET  |PDUIoCtl|err=0
20211|9572|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000001 cb=00FA8F60
20212|9572|CB   |register|slot=2 real=00FA8F60 tramp=DISABLED
20212|9572|RET  |PDURegisterEventCallback|err=0
20213|9572|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000002 cb=00FA8F80
20214|9572|CB   |register|slot=3 real=00FA8F80 tramp=DISABLED
20214|9572|RET  |PDURegisterEventCallback|err=0
20214|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0001
20215|9572|RET  |PDUIoCtl|err=0
20215|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0000
20216|9572|RET  |PDUIoCtl|err=0
20290|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=0219C060
20291|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=0219C010
20292|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8001 size=0
20293|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000001
20293|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1 pCoPTag=00000000 ts=0 pData=0219C0B0
20295|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=0219C0A0
20296|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x1 pCoPTag=00000000 ts=0 pData=0219C010
20297|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8001 size=0
20297|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000002
20298|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x2 pCoPTag=00000000 ts=0 pData=0219BF90
20299|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=0219BFD0
20300|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0x2 pCoPTag=00000000 ts=0 pData=0219C070
20301|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
20302|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000003
20303|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x3 pCoPTag=0158839C ts=0 pData=02141C50
20312|9572|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000003 cb=00FA8F20
20313|9572|CB   |register|slot=4 real=00FA8F20 tramp=DISABLED
20313|9572|RET  |PDURegisterEventCallback|err=0
20313|9572|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000004 cb=00FA8F40
20314|9572|CB   |register|slot=5 real=00FA8F40 tramp=DISABLED
20315|9572|RET  |PDURegisterEventCallback|err=0
20315|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000003 cmd=0x000C0001
20316|9572|RET  |PDUIoCtl|err=0
20316|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000003 cmd=0x000C0000
20317|9572|RET  |PDUIoCtl|err=0
20317|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=0A5F51D8
20318|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=0A5F5128
20319|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000003 CoPType=0x8001 size=0
20320|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000004
20321|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 hCop=0x4 pCoPTag=00000000 ts=0 pData=0A5F51D8
20322|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=0A5F5098
20323|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 hCop=0x4 pCoPTag=00000000 ts=0 pData=0A5F5208
20324|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000004 CoPType=0x8001 size=0
20324|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000005
20325|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 hCop=0x5 pCoPTag=00000000 ts=0 pData=0A5F5268
20326|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 hCop=0xFFFFFFFF pCoPTag=00000000 ts=0 pData=0A5F50A8
20327|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 hCop=0x5 pCoPTag=00000000 ts=0 pData=0A5F51D8
20329|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000003 CoPType=0x8004 size=0
20329|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000006
20330|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 hCop=0x6 pCoPTag=01588B04 ts=0 pData=0A524358
20415|9572|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000005 cb=00FA8EE0
20416|9572|CB   |register|slot=6 real=00FA8EE0 tramp=DISABLED
20416|9572|RET  |PDURegisterEventCallback|err=0
20417|9572|CALL |PDURegisterEventCallback|hMod=0x00000001 hCLL=0x00000006 cb=00FA8F00
